Department,GPE,ECW,total
Afghanistan,17456.52572,39251.78696,56708.31268
Bangladesh,28453.61411,30969.54677,59423.16088
Brazil,0,1547.964071,1547.964071
Benin,17146.31226,0,17146.31226
Burkina Faso,23364.27468,3823.409255,27187.68394
Burundi,15487.59072,0,15487.59072
Cambodia,24149.06574,0,24149.06574
Cameroon,21190.49992,5305.182879,26495.6828
Central African Republic,48537.73124,25839.39956,74377.13081
Chad,39107.1776,38598.24645,77705.42405
Colombia,0,4096.576346,4096.576346
Comoros,1260.294557,1321.175968,2581.470525
DRC,101125.537,5772.205086,106897.7421
Côte d'Ivoire,7420.138123,0,7420.138123
Djibouti,480.5779022,0,480.5779022
Ecuador,0,4002.592813,4002.592813
Eritrea,12968.40183,0,12968.40183
Ethiopia,125006.9789,49635.79036,174642.7693
Greece,0,5800.924056,5800.924056
Indonesia,0,4856.763108,4856.763108
Lebabon,0,4655.383109,4655.383109
Gambia,7743.011458,0,7743.011458
Ghana,5919.997138,0,5919.997138
Guinea,22387.42622,0,22387.42622
Guinea-Bissau,10723.67769,0,10723.67769
Guyana,272.8516886,0,272.8516886
Haiti,24778.58905,0,24778.58905
Kenya,12361.11468,0,12361.11468
Kyrgyz Republic,934.0615695,0,934.0615695
Lao PDR,1016.753174,0,1016.753174
Lesotho,549.6371816,0,549.6371816
Liberia,29699.19212,0,29699.19212
Madagascar,130464.7821,979.1379095,131443.92
Malawi,32344.74393,4650.962421,36995.70635
Mali,14068.11439,7905.156974,21973.27136
Mauritania,5002.52781,0,5002.52781
Mongolia,79.2378505,0,79.2378505
Mozambique,21319.34166,18827.33106,40146.67271
Nepal,19395.39692,3896.86418,23292.2611
Nicaragua,2580.534618,0,2580.534618
Niger,26793.1462,6756.890039,33550.03624
Nigeria,11042.80732,4929.097878,15971.9052
Caribbean,407.5758828,0,407.5758828
Occupied Palestinian Territories,,16257.13409,16257.13409
Pakistan,41119.41307,0,41119.41307
Papua New Guinea,1550.698688,3192.377258,4743.075946
Peru,0,2523.501776,2523.501776
Rwanda,7274.189188,0,7274.189188
Sao Tome and Principe,235.0205063,0,235.0205063
Senegal,7342.994829,0,7342.994829
Sierra Leone,15815.11361,0,15815.11361
Somalia,29983.25986,24800.30026,54783.56013
South Sudan,41296.71042,20079.43145,61376.14188
Syria,0,57867.81575,57867.81575
Sudan,14280.7356,0,14280.7356
Tajikistan,2734.133736,0,2734.133736
Timor-Leste,146.3731683,0,146.3731683
Togo,10541.32714,0,10541.32714
Uganda,88788.57271,52422.87177,141211.4445
Ukraine,0,3108.605328,3108.605328
Tanzania,31741.42008,0,31741.42008
Uzbekistan,5276.419847,0,5276.419847
Venezuela,0,15245.48273,15245.48273
Vietnam,1929.524979,0,1929.524979
Yemen,4850.564968,0,4850.564968
Zambia,7366.265642,0,7366.265642
Zimbabwe,23041.51096,4650.092337,27691.60329
